	company	fund_id	fund_name	avg	avg_type	category	fund_type	me	ydev	y5dev	risk	Link	Klusterbomber	Kemiska vapen	Kärnvapen	Vapen/krigsmateriel	Alkohol	Tobak	Spelverksamhet	Pornografi	Fossila bränslen	Kol	Uran	Genmodifierade organismer	Alkohol_comment	Fossila bränslen (olja, gas, kol)_comment	Kemiska och biologiska vapen_comment	Klusterbomber, personminor_comment	Kol_comment	Kommersiell spelverksamhet_comment	Kärnvapen_comment	Pornografi_comment	Tobak_comment	Uran_comment	Vapen och/eller krigsmateriel_comment	Övrigt_comment
308908	Aktie-Ansvar AB	308908	Aktie-Ansvar Avkastningsfond	0.28	NA	Sverige kortränta	R	M/E	1	1	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000735771	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från alkohol. Med omsättning avses intäkter som kommer ifrån, tillverkning av drycken, försäljning, marknadsföring, namngivande, förpackning, varumärkesnamn & Etikettering av dryckerna.		Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.		Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från spel. Med spel avses hasardspel antingen i form av tjänster eller produkter. Med omsättning avses intäkter från, skapande, försäljning, marknadsföring eller service utav spel.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från pornografi. Med pornografi avses material som på ett ohöljt och utmanande sätt återger sexuella situationer eller händelseförlopp där människans värde och värdighet kränks.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från tobak. Med tobak avses alla tobaksrelaterade produkter, tillverkning såväl som distribution.		Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	
273078	Aktie-Ansvar AB	273078	Aktie-Ansvar Europa	0.60	NA	Europa	A	M/E	13	10	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000735797	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från alkohol. Med omsättning avses intäkter som kommer ifrån, tillverkning av drycken, försäljning, marknadsföring, namngivande, förpackning, varumärkesnamn & Etikettering av dryckerna.	Aktie-Ansvar Europas placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från verksamhet av kol.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar Europas placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från fossila bränslen såsom kol, olja eller gasverksamhet.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från spel. Med spel avses hasardspel antingen i form av tjänster eller produkter. Med omsättning avses intäkter från, skapande, försäljning, marknadsföring eller service utav spel.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från pornografi. Med pornografi avses material som på ett ohöljt och utmanande sätt återger sexuella situationer eller händelseförlopp där människans värde och värdighet kränks.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från tobak. Med tobak avses alla tobaksrelaterade produkter, tillverkning såväl som distribution.	Aktie-Ansvar Europas placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från uranverksamhet.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	
409300	Aktie-Ansvar AB	409300	Aktie-Ansvar Saxxum Aktiv	0.62	FOF	Varierande	B	M/E	2	7	låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0005218120	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
344739	Aktie-Ansvar AB	344739	Aktie-Ansvar Sverige	0.59	NA	Sverige	A	M/E	8	14	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000735789	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från alkohol. Med omsättning avses intäkter som kommer ifrån, tillverkning av drycken, försäljning, marknadsföring, namngivande, förpackning, varumärkesnamn & Etikettering av dryckerna.	Fondens placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från fossila bränslen så som kol, olja eller gasverksamhet.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Fondens placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från verksamhet av kol.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från spel. Med spel avses hasardspel antingen i form av tjänster eller produkter. Med omsättning avses intäkter från, skapande, försäljning, marknadsföring eller service utav spel.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från pornografi. Med pornografi avses material som på ett ohöljt och utmanande sätt återger sexuella situationer eller händelseförlopp där människans värde och värdighet kränks.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från tobak. Med tobak avses alla tobaksrelaterade produkter, tillverkning såväl som distribution.	Fondens placeringsriktlinjer uteslutet bolag som har en omsättning som överstiger 5% härrörande från uranverksamhet.	Aktie-Ansvar etiska placeringsriktlinjer utesluter bolag som har en omsättning som överstiger 5% härrörande från vapen. Restriktionen avser bolag som tillverkar vapen eller övrig krigsmateriel, enligt definitionen i bilaga 1 till förordningen (1992:1303) om krigsmateriel, utgiven av inspektionen.	
874503	Aktieinvest Fonder AB	874503	Aktiespararna Direktavkastning	0.20	NA	Sverige	A	NA	9	-	-		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
290072	Aktieinvest Fonder AB	290072	Aktiespararna Topp Sverige	0.20	NA	Sverige	A	NA	7	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
205302	Alfakraft Fonder AB	205302	Alfa Aktiv	0.88	NA	Sverige	A	NA	3	-	-		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
186478	Alfred Berg Fonder AB	186478	Alfred Berg Bear	0.39	NA	Övriga branscher	A	NA	-9	-	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
222307	Alfred Berg Fonder AB	222307	Alfred Berg Bull	0.39	NA	Sverige	A	NA	10	-	hög		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
320176	Alfred Berg Fonder AB	320176	Alfred Berg Fastighetsfond Norden	0.64	NA	Fastighet	A	M/E	11	22	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0004296515	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ			Ingår i BNP Paribas Asset Managements generella policy för ansvarsfulla investeringar.	Ingår i BNP Paribas Asset Managements generella policy för ansvarsfulla investeringar.			Ingår i BNP Paribas Asset Managements generella policy för ansvarsfulla investeringar.					
120303	Alfred Berg Fonder AB	120303	Alfred Berg Företagsobligationsfond Hållbar	0.25	NA	Norden ränta	R	M/E	1	1	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0001713678	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	Avser utvinning.						För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.		För vapen gäller 0%. För övrig krigsmateriel gäller högst 5% av omsättningen.	
657106	Alfred Berg Fonder AB	657106	Alfred Berg Hållbar Tillväxt Sverige	0.51	NA	Sverige	A	M/E	7	-	-	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0007704804	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	UNDVIKER	UNDVIKER	För produktion gäller 0% . För distribution och försäljning gäller högst 5% av omsättningen.	Avser utvinning, raffinering och kraftproduktion.						För produktion gäller 0% . För distribution och försäljning gäller högst 5% av omsättningen.	För produktion gäller 0% . För distribution och försäljning gäller högst 5% av omsättningen.	Avser utvinning, raffinering och kraftproduktion.	För vapen gäller 0%. För övrig krigsmateriel gäller högst 5% av omsättningen.	
572041	Alfred Berg Fonder AB	572041	Alfred Berg Nordic Equity Momentum	0.54	NA	Norden	A	M/E	-	-	-	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0009690456	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
554691	Alfred Berg Fonder AB	554691	Alfred Berg Obligationsfond Plus Hållbar	0.22	RES	Sverige lång och realränta	R	M/E	0	3	låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000709313	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	Avser utvinning.						För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.		För vapen gäller 0%. För övrig krigsmateriel gäller högst 5% av omsättningen.	
361733	Alfred Berg Fonder AB	361733	Alfred Berg Penningmarknadsfond Hållbar	0.18	NA	Sverige kortränta	R	M/E	-1	0	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000709370	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	Avser utvinning.						För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.	För produktion gäller 0%. För distribution och försäljning gäller högst 5% av omsättningen.		För vapen gäller 0%. För övrig krigsmateriel gäller högst 5% av omsättningen.	
671982	Alfred Berg Fonder AB	671982	Alfred Berg Ryssland	0.78	NA	Ryssland	A	M/E	-2	9	hög	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000709297	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ			Enligt BNP Paribas Asset Managements gemensamma policy rörande kontroversiella vapen.	Enligt BNP Paribas Asset Managements gemensamma policy rörande kontroversiella vapen.			Enligt BNP Paribas Asset Managements gemensamma policy. Avser företag som levererar till kärnvapenprogram i länder som inte omfattas av det så kallade icke-spridningsavtalet, samt i länder som omfattas av icke-spridningsavtalet men som inte är NATO-medlemmar, t.ex. Indien.					
325902	Alfred Berg Fonder AB	325902	Alfred Berg Ränteallokering Plus	0.37	RES	Övriga räntefonder	R	M/E	3	1	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000709362	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ			Enligt BNP Paribas Investment Partners gemensamma policy rörande kontroversiella vapen.	Enligt BNP Paribas Investment Partners gemensamma policy rörande kontroversiella vapen.			Enligt BNP Paribas Investment Partners gemensamma policy. Avser företag som levererar till kärnvapenprogram i länder som inte omfattas av det så kallade icke-spridningsavtalet, samt i länder som omfattas av icke-spridningsavtalet men som inte är NATO-medlemmar, t.ex. Indien.					
647487	Alfred Berg Fonder AB	647487	Alfred Berg Sverige Plus	0.52	NA	Sverige	A	M/E	5	14	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000709271	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
147348	Alfred Berg Kapitalforvaltning AS	147348	Alfred Berg Aktiv	0.55	NA	Övriga länder	A	NA	9	18	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
290668	Alfred Berg Kapitalforvaltning AS	290668	Alfred Berg Global	0.58	NA	Global	A	NA	11	16	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
219006	Alfred Berg Kapitalforvaltning AS	219006	Alfred Berg Nordic Best Selection	0.55	NA	Norden	A	NA	9	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
183178	Alfred Berg Kapitalforvaltning AS	183178	Alfred Berg Norge	0.46	NA	Övriga länder	A	NA	10	16	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
111518	Alfred Berg Kapitalforvaltning AS	111518	Alfred Berg Obligasjon	0.22	NA	Norden ränta	R	NA	-2	3	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
753731	Allianz Global Investors GmbH	753731	Allianz China Equity	0.89	NA	Kina	A	NA	23	15	hög		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
250878	Allianz Global Investors GmbH	250878	Allianz Emerging Asia Equity	0.89	NA	Asien	A	NA	24	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
717900	Allianz Global Investors GmbH	717900	Allianz Euro High Yield Bond	0.42	NA	Övriga räntefonder	R	NA	8	8	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
682070	Allianz Global Investors GmbH	682070	Allianz Europe Equity Growth	0.74	NA	Europa	A	NA	17	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
634675	Allianz Global Investors GmbH	634675	Allianz Europe Equity Growth Select	0.74	NA	Europa	A	NA	17	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
538751	Allianz Global Investors GmbH	538751	Allianz Europe Small Cap Equity	0.83	NA	Europa småbolag	A	NA	19	17	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
789560	Allianz Global Investors GmbH	789560	Allianz GEM Equity High Dividend	0.89	NA	Nya marknader	A	NA	18	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
215046	Allianz Global Investors GmbH	215046	Allianz German Equity	0.74	NA	Övriga länder	A	NA	22	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
502922	Allianz Global Investors GmbH	502922	Allianz Global Metals and Mining	0.74	NA	Råvaror och energi	A	NA	17	2	mycket hög		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
179218	Allianz Global Investors GmbH	179218	Allianz Global Small Cap Equity	0.83	NA	Global	A	NA	14	-	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
431262	Allianz Global Investors GmbH	431262	Allianz Little Dragons	0.84	NA	Asien	A	NA	24	12	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
395434	Allianz Global Investors GmbH	395434	Allianz Thailand Equity	0.89	NA	Övriga länder	A	NA	15	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
359604	Allianz Global Investors GmbH	359604	Allianz US Equity Fund	0.72	NA	USA och Nordamerika	A	NA	7	19	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
467092	Allianz Global Investors GmbH	467092	Allianz US High Yield	0.42	NA	Övriga räntefonder	R	NA	-5	9	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
